type,full,abbr,wrong_vis,regex_vis
abb_us,Day52,D52,d_52,d\_52(?![:digit:])
s_nosp,Day53,D53,d53,d53(?![:digit:])
s_sp,Day53,D53,d 53,d\s53(?![:digit:])
s_us,Day53,D53,d_53,d\_53(?![:digit:])
f_nosp,Day53,D53,day53,day53(?![:digit:])
f_sp,Day53,D53,day 53,day\s53(?![:digit:])
f_us,Day53,D53,day_53,day\_53(?![:digit:])
abb_nosp,Day53,D53,d53,d53(?![:digit:])
abb_sp,Day53,D53,d 53,d\s53(?![:digit:])
abb_us,Day53,D53,d_53,d\_53(?![:digit:])
s_nosp,Day54,D54,d54,d54(?![:digit:])
